,MLP,SVM,KNN,DT,RF
0,0.8307692307692308,0.8153846153846154,0.8,0.8769230769230769,0.8461538461538461
1,0.8615384615384616,0.8769230769230769,0.8307692307692308,0.8461538461538461,0.8307692307692308
2,0.8153846153846154,0.8769230769230769,0.8461538461538461,0.8,0.8615384615384616
3,0.8461538461538461,0.8615384615384616,0.8769230769230769,0.8307692307692308,0.8461538461538461
4,0.8615384615384616,0.8615384615384616,0.8307692307692308,0.9076923076923077,0.8461538461538461
5,0.7692307692307693,0.8461538461538461,0.7538461538461538,0.8153846153846154,0.8615384615384616
6,0.8615384615384616,0.8615384615384616,0.8461538461538461,0.8769230769230769,0.8615384615384616
7,0.8307692307692308,0.8615384615384616,0.8153846153846154,0.8461538461538461,0.8307692307692308
8,0.8615384615384616,0.8461538461538461,0.8153846153846154,0.8461538461538461,0.8307692307692308
9,0.859375,0.84375,0.875,0.890625,0.859375
