,MLP,SVM,KNN,DT,RF
0,39.62100373398907,13.471663114551294,31.476923076923075,46.323076923076925,16.96476923076923
1,61.00920394708659,17.619310895776103,44.01538461538462,40.66153846153846,17.907811965811963
2,35.60957352739057,16.39787766514285,25.215384615384615,25.846153846153847,17.994947187928673
3,28.072708962505494,12.187257069332718,22.23076923076923,24.307692307692307,15.450491452991454
4,53.71804123250987,32.968391556743015,41.04615384615385,44.676923076923075,31.682833642690387
5,49.789134157213525,32.61233665480582,47.93846153846154,62.23076923076923,32.42256837606838
6,58.62324740216123,27.188091141395937,49.738461538461536,34.77307692307692,23.99020512820513
7,45.87185340414906,18.985645643505887,24.43076923076923,27.153846153846153,18.872414529914533
8,52.33723862543312,23.06131275650092,36.03076923076923,35.53846153846154,19.636649314632734
9,54.496681619133,27.85083087071324,36.78125,42.421875,23.74037125860182
