,MLP,SVM,KNN,DT,RF
0,3.7156671025889114,4.364121458662886,10.692307692307692,2.4461538461538463,1.9112863247863243
1,2.996901030848363,4.458430304409675,7.476923076923077,3.292307692307692,1.7658899037597178
2,4.950846767893797,6.604778065284859,12.153846153846153,5.046153846153846,2.855145299145299
3,4.831357807541951,4.001409535690903,19.107692307692307,4.461538461538462,1.9283547008547006
4,4.292235979392953,4.563789976857878,10.061538461538461,4.707692307692308,2.833709401709402
5,6.469436917833113,13.241698953215115,17.16923076923077,12.169230769230769,7.705094017094015
6,5.099172270009072,5.893027962049048,12.923076923076923,6.2153846153846155,2.825025641025641
7,7.329068904787593,10.403939938550282,14.661538461538461,13.646153846153846,5.413111111111111
8,4.114522742421993,4.278252471483572,7.492307692307692,4.892307692307693,2.4222350427350423
9,5.45531660430211,6.5318434028982715,14.171875,6.58203125,3.0227311373302146
