,MLP,SVM,KNN,DT,RF
0,44.91998247880932,11.222866575741788,29.615384615384617,51.38461538461539,14.410000000000002
1,48.63820857156148,17.710120072047328,43.03076923076923,65.70769230769231,18.297307692307694
2,34.625039436830136,16.40928521078714,25.93846153846154,35.0,14.459841880341878
3,30.732802219350443,12.268475167364997,23.384615384615383,28.258119658119657,16.35138888888889
4,39.9474671319672,32.66544642218856,40.55384615384615,62.47692307692308,32.430521367521365
5,57.30074883888735,31.97126482174332,62.707692307692305,48.323076923076925,33.04258705128205
6,53.10672826036809,27.64664814227156,47.63076923076923,49.93846153846154,24.57581623931624
7,38.500113698555005,18.75390641225392,32.09230769230769,44.38461538461539,18.463900360873694
8,58.22565416190137,22.26183855348965,35.95384615384615,28.96923076923077,20.058568703118546
9,53.40252255735237,27.66241590350014,38.21875,47.234375,22.47297697106186
