,MLP,SVM,KNN,DT,RF
0,38.467809652454314,13.165374428694342,32.84615384615385,42.52307692307692,16.55538728924526
1,59.367226432203665,17.500964456792534,43.83076923076923,34.38461538461539,19.03528202015186
2,26.068594252168957,16.297339891706326,26.523076923076925,57.53846153846154,17.387994224311498
3,38.97455909957437,12.2765226233969,21.323076923076922,40.11153846153846,13.059751502836633
4,52.86341168632139,32.93870832549546,54.61538461538461,38.350076502359386,31.600195444072078
5,58.26165255464675,33.83979687412211,42.90769230769231,50.4,34.02131804551579
6,57.13930052670434,28.165916965852528,48.69230769230769,30.03076923076923,24.931811965811963
7,64.3863933998493,18.521671845412026,22.76923076923077,25.015384615384615,16.872604028545073
8,55.616101409812515,21.599822430461753,34.07692307692308,27.34124727826813,20.303301048283693
9,71.93625387934262,28.075078427763337,37.421875,42.109375,24.428342138671315
