,MLP,SVM,KNN,DT,RF
0,32.88543322208307,13.254287743664852,32.52307692307692,40.091907558106364,18.1382905982906
1,54.027169008254255,17.553402378878022,43.83076923076923,39.52307692307692,19.321846628679964
2,33.84143876174769,16.37648589715744,26.584615384615386,44.23076923076923,19.015021105878247
3,29.79737640386622,11.953817050014456,22.784615384615385,29.338461538461537,12.32194017094017
4,49.23460828802348,32.91150662535126,43.03076923076923,41.43076923076923,31.33416293803967
5,57.09396955975561,33.142316505459725,43.83076923076923,58.69230769230769,34.156485943153456
6,62.711378254208746,27.212645427383517,46.96923076923077,81.18461538461538,25.116012820512818
7,48.06290875431867,19.39629936147467,22.96923076923077,33.49230769230769,17.943705128205128
8,50.03994269217123,20.622709819760544,33.63076923076923,34.292307692307695,18.700953846153848
9,69.41502641943343,28.10081940110064,37.40625,36.546875,25.587951871141975
